    learning_rate =0.1,
    n_estimators=1000,
    max_depth=5,
    min_child_weight=1,
    gamma=0,
    subsample=0.8,
    colsample_bytree=0.8,
    objective='multi:softmax',
    nthread=24,
    scale_pos_weight=1,
    seed=27
[350]	train-merror:0.098449+0.000276728	test-merror:0.110367+0.00076286
[351]	train-merror:0.0983578+0.000305472	test-merror:0.110345+0.000652904
[352]	train-merror:0.0983114+0.00029705	test-merror:0.110337+0.000630458
[353]	train-merror:0.0982774+0.000267991	test-merror:0.110318+0.000689785
[354]	train-merror:0.0982362+0.00028321	test-merror:0.11036+0.000718493
[355]	train-merror:0.0981422+0.000274105	test-merror:0.11028+0.000684725
[356]	train-merror:0.0980252+0.000285734	test-merror:0.110238+0.000715084
[357]	train-merror:0.0979274+0.000322718	test-merror:0.110162+0.000641799
[358]	train-merror:0.097878+0.000315127	test-merror:0.110151+0.000706014
[359]	train-merror:0.0977982+0.000301159	test-merror:0.110105+0.000701104
[360]	train-merror:0.0977336+0.000293246	test-merror:0.110018+0.000720294
[361]	train-merror:0.0976198+0.000315269	test-merror:0.109972+0.000728879
